strain,type,rating,effects,flavor
Banana-Peel,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Sleepy","Spicy,Herbal, Tropical, Earthy"
Bananas,hybrid,4.5,"Relaxed,Energetic,Happy,Uplifted,Focused","Grape,Vanilla,Tropical"
Bandana,hybrid,4.2,"Euphoric,Happy,Relaxed,Talkative,Creative","Pungent,Woody,Earthy"
Bangi-Haze,sativa,4.6,"Aroused,Uplifted,Euphoric,Hungry","Berry,Tree,Fruity,Cheese"
Bango,hybrid,4.7,"Uplifted,Creative,Energetic,Euphoric,Focused","Pungent,Lime,Earthy"
Barbara-Bud,indica,3.6,"Relaxed,Euphoric,Happy,Hungry,Uplifted","Citrus,Mango,Earthy"
Batgirl,hybrid,5.0,"Euphoric,Relaxed","Sweet, Berry, Chemical"
Batman-Og,indica,4.4,"Sleepy,Hungry,Happy,Relaxed,Giggly","Pungent,Sweet,Skunk"
Bay-11,sativa,4.5,"Happy,Relaxed,Uplifted,Energetic,Creative","Citrus,Sweet,Earthy"
Bay-Dream,sativa,4.3,"Relaxed,Happy,Euphoric,Uplifted,Focused","Citrus,Sweet,Earthy"
Bb-King,indica,3.8,"Sleepy,Happy,Relaxed,Uplifted,Creative","Citrus,Lemon,Earthy"
Bc-Big-Bud,hybrid,4.5,"Relaxed,Euphoric,Happy,Creative,Sleepy","Tropical,Pungent,Earthy"
Bc-Roadkill,hybrid,4.5,"Euphoric,Uplifted,Happy,Giggly,Relaxed","Woody,Skunk,Earthy"
Bc-Sweet-Tooth,indica,4.3,"Uplifted,Happy,Relaxed,Sleepy,Euphoric","Sweet,Honey,Tree,Fruity"
Bcn-Diesel,hybrid,5.0,"Sleepy,Focused,Happy,Hungry"," Earthy,Sour, Lemon"
Bear-Dance,hybrid,4.8,"Uplifted,Euphoric,Giggly,Happy,Energetic","Minty,Sweet,Earthy"
Beast-Mode-20,indica,4.5,"Relaxed,Sleepy,Tingly,Happy,Euphoric","Berry,Woody,Earthy"
Beast-Mode-Og,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Talkative,Happy","Apricot,Pine,Earthy"
Bedford-Glue,hybrid,5.0,"Happy,Uplifted,Euphoric,Giggly,Relaxed","Sage,Pepper,Pine"
Bedica,indica,4.3,"Relaxed,Sleepy,Hungry,Focused,Euphoric","Pungent,Cheese,Woody"
Bediol,sativa,4.7,"Relaxed,Talkative,Happy,Focused,Uplifted","Citrus,Lemon,Mango"
Bell-Ringer,indica,5.0,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Pungent,Citrus,Sweet"
Belladonna,hybrid,4.0,"Happy,Sleepy,Giggly,Euphoric,Uplifted","Peach,Butter,Earthy"
Berkeley,sativa,4.3,"Talkative,Happy,Uplifted,Energetic,Focused","Pungent,Citrus,Sweet"
Bermuda-Sour,hybrid,4.1,"Relaxed, Uplifted, Hungry","Diesel, Sweet, Citrus"
Berry-Bomb,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Blueberry,Berry,Flowery"
Berry-Larry,hybrid,4.8,"Relaxed,Uplifted,Creative,Euphoric,Talkative","Berry,Citrus,Orange"
Berry-Noir,indica,4.4,"Relaxed,Euphoric,Sleepy,Happy,Hungry","Berry,Sweet,Earthy"
Berry-Og,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Sleepy","Blueberry,Berry,Earthy"
Berry-White,indica,4.4,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Blueberry,Berry,Sweet"
Bertberry-Cheesecake,sativa,5.0,"Uplifted,Creative,Euphoric,Focused,Energetic","Cheese,Berry,Tree,Fruity"
Berts-Cookie-Dough,hybrid,5.0,"Uplifted,Energetic,Happy,Hungry"," Vanilla, Earthy,Sweet"
Bettie-Page,hybrid,4.2,"Creative,Uplifted,Energetic,Euphoric,Relaxed","Earthy,Sweet,Blue,Cheese"
Bianca,hybrid,4.2,"Relaxed,Sleepy,Euphoric,Focused,Creative","Earthy, Woody, Spicy,Herbal"
Biddy-Early,hybrid,4.2,"Creative,Euphoric,Focused,Uplifted,Energetic","Flowery,Diesel,Sweet"
Big-Band,hybrid,4.6,"Relaxed,Happy,Euphoric,Hungry,Talkative","Sweet, Spicy,Herbal, Sage"
Big-Bang,indica,4.1,"Relaxed,Sleepy,Happy,Euphoric,Aroused","Lemon,Orange,Sweet"
Big-Bud,indica,3.9,"Relaxed,Euphoric,Sleepy,Happy,Tingly","Flowery,Skunk,Earthy"
Big-Budda-Cheese,hybrid,4.2,"Happy,Relaxed,Euphoric,Uplifted,Giggly","Cheese,Flowery,Earthy"
Big-Holy-Nina,hybrid,4.0,"Talkative,Uplifted,Euphoric,Happy,Relaxed","Lemon,Lime,Earthy"
Big-Kush,hybrid,4.7,"Uplifted,Relaxed,Euphoric,Creative,Focused","Citrus,Lemon,Skunk"
Big-Mac,indica,5.0,"Relaxed,Aroused,Sleepy,Talkative,Tingly","Blueberry,Berry,Sweet"
Big-Skunk-Korean,hybrid,4.0,"Talkative,Uplifted,Creative,Energetic,Hungry","Flowery,Skunk"
Big-Sky-Og,hybrid,4.7,"Relaxed,Tingly,Uplifted,Hungry,Sleepy","Pungent,Diesel,Skunk"
Big-Smooth,hybrid,5.0,"Happy,Relaxed,Giggly,Uplifted,Aroused","Blueberry, Spicy,Herbal, Nutty"
Big-Sur-Holy-Bud,sativa,4.0,"Relaxed,Uplifted,Focused,Euphoric,Energetic","Menthol,Pine,Earthy"
Big-White,indica,4.2,"Relaxed,Uplifted,Happy,Sleepy,Euphoric","Flowery,Diesel,Sweet"
Big-Wreck,indica,4.1,"Relaxed,Tingly,Euphoric,Happy,Uplifted","Nutty,Pungent,Earthy"
Biker-Leblanc,hybrid,4.5,"Relaxed,Focused,Energetic,Euphoric,Aroused","Spicy,Herbal, Sage, Earthy"
Bio-Diesel,hybrid,4.4,"Euphoric,Happy,Relaxed,Energetic,Uplifted","Pungent,Diesel,Earthy"
Bio-Jesus,hybrid,4.6,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Chemical,Diesel,Earthy"
Biochem,indica,4.4,"Relaxed,Euphoric,Tingly,Sleepy,Happy","Spicy,Herbal, Earthy, Cheese"
Birds-Eye,sativa,5.0,"Happy,Uplifted,Energetic,Euphoric,Relaxed"," Sweet,Spicy"
Birthday-Cake-Kush,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Lemon,Sweet,Vanilla"
Black-84,indica,4.5,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Pungent,Grape,Earthy"
Black-Afghan,indica,4.6,"Relaxed,Sleepy,Hungry,Happy,Euphoric","Pepper,Pine,Earthy"
Black-Betty,hybrid,4.5,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Berry,Pungent,Sweet"
Black-Bubba,indica,4.5,"Happy,Relaxed,Sleepy,Tingly,Euphoric","Flowery,Pine,Earthy"
Black-Cherry-Cheesecake,hybrid,4.5,"Creative,Relaxed,Euphoric,Hungry,Uplifted","Berry,Cheese,Sweet"
Black-Cherry-Og,indica,4.4,"Relaxed,Uplifted,Happy,Giggly,Euphoric","Berry,Sweet,Earthy"
Black-Cherry-Pie,hybrid,5.0,"Relaxed,Uplifted,Creative,Euphoric,Happy","Berry,Sweet,Earthy"
Black-Cherry-Soda,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Berry,Sweet,Earthy"
Black-Dhalia,hybrid,4.0,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Sweet, Earthy, Spicy,Herbal"
Black-Diamond,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Berry,Woody,Earthy"
Black-Diesel,sativa,4.1,"Relaxed,Happy,Hungry,Talkative,Euphoric","Pungent,Diesel,Earthy"
Black-Domina,indica,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Woody,Pepper,Pine"
Black-Haze,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Focused","Flowery,Pine,Earthy"
Black-Ice,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Tingly","Citrus,Sweet,Earthy"
Black-Jack,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Talkative","Sweet,Pine,Earthy"
Black-Label-Kush,indica,4.1,"Euphoric,Relaxed,Sleepy,Uplifted,Focused","Berry,Woody,Earthy"
Black-Larry-Bird,indica,4.0,"Tingly,Uplifted,Creative,Euphoric,Focused"," Earthy,Sweet, Lemon"
Black-Lime-Special-Reserve,indica,4.5,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Citrus,Pepper,Lime"
Black-Magic,hybrid,4.0,"Happy,Relaxed,Uplifted,Euphoric",Earthy
Black-Magic-Kush,indica,4.2,"Happy,Relaxed,Sleepy,Hungry,Talkative","Berry,Woody,Earthy"
Black-Mamba,indica,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Grape,Woody,Sweet"
